D,H Temp,L Temp
29,21,5
30,22,10
31,24,12
1,24,12
2,16,3
3,14,8
4,18,13
5,20,9
6,17,8
7,21,4
8,19,9
9,15,7
10,13,2
11,15,9
12,16,7
13,8,2
14,11,-1
15,13,6
16,12,6
17,11,-2
18,9,2
19,3,-1
20,1,-3
21,9,3
22,6,-3
23,4,1
24,10,0
25,6,-2
26,3,-3
27,3,-4
28,4,-2
29,4,-3
30,4,-3
1,4,-2
2,4,-2
