D,H Temp,L Temp
29,14,9
30,13,9
31,13,9
1,14,9
2,12,8
3,12,7
4,11,8
5,12,8
6,12,8
7,12,8
8,11,9
9,11,6
10,8,6
11,11,4
12,11,4
13,16,12
14,14,9
15,12,6
16,9,4
17,11,5
18,9,9
19,14,10
20,0,8
21,10,2
22,8,8
23,13,7
24,8,5
25,8,4
26,8,4
27,8,3
28,7,4
29,8,5
30,8,5
1,7,4
2,7,4
