D	H Temp_bardar	L Temp_bardar	H Temp_amsterdam	L Temp_amsterdam	H Temp_chisinau	L Temp_chisinau
2023-11-27	3	-9	5	1	3	-9
2023-11-28	5	2	5	2	5	2
2023-11-29	4	-7	4	1	4	-7
2023-11-30	4	0	4	-2	4	0
2023-12-01	11	1	2	-3	11	1
2023-12-02	6	3	4	0	6	3
